Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper
1,Liverpool,37,31,3,3,82,32,50,96,70,40.9,29.1,0.79,"53,143",Mohamed Salah - 19,Alisson
2,Manchester City,37,25,3,9,97,35,62,78,90,34,56.1,1.52,"54,219",Raheem Sterling - 19,Ederson
3,Manchester Utd,37,17,12,8,64,36,28,63,57.9,36.2,21.7,0.59,"72,726","Marcus Rashford, Anthony Martial - 17",David de Gea
4,Chelsea,37,19,6,12,67,54,13,63,66.8,37.9,28.9,0.78,"40,563",Tammy Abraham - 15,Kepa Arrizabalaga
5,Leicester City,37,18,8,11,67,39,28,62,59.5,43.5,16,0.43,"32,061",Jamie Vardy - 23,Kasper Schmeichel
6,Wolves,37,15,14,8,51,38,13,59,47.4,33.2,14.2,0.38,"31,360",Raúl Jiménez - 17,Rui Patrício
7, Tottenham,37,16,10,11,60,46,14,58,46,52.1,-6.2,-0.17,"59,384",Harry Kane - 17,Hugo Lloris
8,Sheffield Utd,37,14,12,11,38,36,2,54,41.3,45.7,-4.5,-0.12,"30,869","Oliver McBurnie, Lys Mousset - 6",Dean Henderson
9,Burnley,37,15,9,13,42,48,-6,54,42.3,47.3,-5.1,-0.14,"20,260",Chris Wood - 13,Nick Pope
10,Arsenal,37,13,14,10,53,46,7,53,47.7,53.5,-5.8,-0.16,"60,279",Pierre-Emerick Aubameyang - 20,Bernd Leno
11,Everton,37,13,10,14,43,53,-10,49,47.7,47.5,0.2,0.01,"39,150","Dominic Calvert-Lewin, Richarlison - 13",Jordan Pickford
12,Southampton,37,14,7,16,48,59,-11,49,52.4,52.4,-0.1,0,"29,675",Danny Ings - 21,Alex McCarthy
13,Newcastle Utd,37,11,11,15,37,55,-18,44,33.6,57.9,-24.3,-0.66,"48,248",Jonjo Shelvey - 6,Martin Dúbravka
14,Crystal Palace,37,11,9,17,30,49,-19,42,34.4,51.2,-16.8,-0.45,"25,060",Jordan Ayew - 9,Vicente Guaita
15,West Ham,37,10,8,19,48,61,-13,38,45.5,62.5,-17,-0.46,"59,925",Michail Antonio - 10,?ukasz Fabia?ski
16,Brighton,37,8,14,15,37,53,-16,38,41.3,53.1,-11.8,-0.32,"30,358",Neal Maupay - 10,Mathew Ryan
17,Aston Villa,37,9,7,21,40,66,-26,34,40.1,66.3,-26.2,-0.71,"41,661",Jack Grealish - 7,Tom Heaton
18,Watford,37,8,10,19,34,61,-27,34,42.6,56.7,-14.2,-0.38,"20,837",Troy Deeney - 9,Ben Foster
19,Bournemouth,37,8,7,22,37,64,-27,31,42.4,55.7,-13.4,-0.36,"10,510",Callum Wilson - 8,Aaron Ramsdale
20,Norwich City,37,5,6,26,26,70,-44,21,38.5,59.6,-21.1,-0.57,"27,025",Teemu Pukki - 11,Tim Krul
