Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,Total Distance
1,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,37,2693,2980,90.4,63123
2,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.2,2247,3140,71.6,49686
3,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.1,2319,2490,93.1,47816
4,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,36.6,2039,2314,88.1,46022
5,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,37,2081,2353,88.4,45832
6,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,34.9,1882,2150,87.5,44381
7,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.1,1934,2137,90.5,42981
8,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,37,1509,1747,86.4,41763
9,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,2035,2239,90.9,41675
10,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,33.6,2256,2793,80.8,41440
11,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,25,1716,1920,89.4,39821
12,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,34.9,2200,2747,80.1,39166
13,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.2,1658,2140,77.5,38732
14,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,33.3,1560,1939,80.5,37639
15,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,21.3,1645,1848,89,37237
16,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,25.6,1803,2057,87.7,36866
17,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,31.9,1521,1840,82.7,36263
18,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,30.2,1455,1681,86.6,36103
19,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,25.5,1878,2136,87.9,36051
20,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,34.2,1599,2005,79.8,35267
21,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,33.4,1715,1954,87.8,34558
22,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,30,1622,2175,74.6,33572
23,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,28.6,1524,1788,85.2,33243
24,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,27.7,1599,1819,87.9,33160
25,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,37,1145,1425,80.4,33034
26,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,21.9,1754,1929,90.9,32931
27,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,1582,1879,84.2,32654
28,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,35,1014,1500,67.6,31693
29,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,22.1,1610,1789,90,31291
30,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,37,862,1337,64.5,30884
31,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,1380,1488,92.7,29823
32,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,28.4,1396,1580,88.4,29804
33,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24,1463,1714,85.4,29437
34,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,27.1,1388,1601,86.7,29096
35,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,18,1209,1375,87.9,28874
36,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,37,1417,1652,85.8,28872
37,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.2,1477,1777,83.1,28623
38,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27,1298,1496,86.8,28022
39,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,29.1,1230,1513,81.3,27521
40,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,23.7,1406,1587,88.6,27252
41,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,37,882,1143,77.2,27137
42,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,34,1321,1778,74.3,27096
43,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,1334,1528,87.3,27062
44,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,1413,1810,78.1,26872
45,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,30.6,1423,1762,80.8,26664
46,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,1166,1258,92.7,26592
47,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,37,1380,1874,73.6,26377
48,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,1528,1956,78.1,26142
49,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,28.7,1384,1611,85.9,25985
50,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,29.2,1282,1674,76.6,25933
51,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,31.2,1040,1304,79.8,25688
52,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25.4,1070,1251,85.5,25554
53,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28,1513,1875,80.7,25283
54,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,37,584,1062,55,25191
55,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,27.4,1077,1283,83.9,25165
56,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,32.9,1307,1888,69.2,24944
57,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,27.9,1158,1503,77,24743
58,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,32.4,1156,1555,74.3,24611
59,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,37,522,1182,44.2,24348
60,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,1158,1430,81,24229
61,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,33.1,1613,1995,80.9,24025
62,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,31.6,1397,1542,90.6,23983
63,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,34.4,1006,1194,84.3,23957
