Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Manchester City,2,37,37,3328,35,0.95,103,69,0.689,25,3,9,16,43.2,3,3,0,0
Burnley,1,37,37,3330,48,1.3,155,110,0.716,15,9,13,15,40.5,5,4,1,0
Liverpool,2,37,37,3328,32,0.87,105,74,0.705,31,3,3,15,40.5,1,1,0,0
Leicester City,1,37,37,3330,39,1.05,124,94,0.742,18,8,11,13,35.1,9,7,2,0
Sheffield Utd,2,37,37,3330,36,0.97,138,102,0.739,14,12,11,13,35.1,2,0,1,1
Wolves,1,37,37,3330,38,1.03,117,79,0.684,15,14,8,13,35.1,3,1,2,0
Manchester Utd,1,37,37,3330,36,0.97,122,89,0.73,17,12,8,12,32.4,3,3,0,0
Newcastle Utd,1,37,37,3330,55,1.49,184,131,0.712,11,11,15,11,29.7,2,2,0,0
Arsenal,2,37,37,3330,46,1.24,184,139,0.783,13,14,10,10,27,7,6,1,0
Crystal Palace,2,37,37,3330,49,1.32,167,119,0.707,11,9,17,10,27,1,0,0,1
Brighton,1,37,37,3330,53,1.43,163,114,0.687,8,14,15,9,24.3,2,2,0,0
Everton,1,37,37,3330,53,1.43,139,91,0.633,13,10,14,9,24.3,3,2,0,1
Southampton,2,37,37,3330,59,1.59,161,106,0.652,14,7,16,9,24.3,4,3,1,0
Watford,1,37,37,3330,61,1.65,162,107,0.667,8,10,19,9,24.3,8,7,1,0
Chelsea,2,37,37,3330,54,1.46,114,64,0.544,19,6,12,8,21.6,2,2,0,0
Tottenham,2,37,37,3330,46,1.24,170,129,0.759,16,10,11,8,21.6,7,5,2,0
Aston Villa,4,37,37,3330,66,1.78,174,113,0.649,9,7,21,7,18.9,6,5,1,0
West Ham,4,37,37,3330,61,1.65,174,121,0.678,10,8,19,7,18.9,6,5,1,0
Bournemouth,2,37,37,3330,64,1.73,177,118,0.667,8,7,22,5,13.5,6,5,1,0
Norwich City,3,37,37,3330,70,1.89,192,125,0.656,5,6,26,5,13.5,7,4,3,0
