Squad,# Pl,Completed,Att,Cmp%,TotDist,PrgDist
Manchester City,24,23584,26913,87.6,457682,122069
Liverpool,24,20151,24276,83,410860,121865
Chelsea,27,20119,23875,84.3,393242,110610
Manchester Utd,29,17105,20639,82.9,316716,95277
Leicester City,24,16949,20678,82,326245,101385
Arsenal,29,15971,19342,82.6,313410,92322
Brighton,25,15425,19180,80.4,311627,101320
Tottenham,29,15376,19189,80.1,297650,91651
Norwich City,28,14420,18014,80,266496,86617
Wolves,20,13804,17511,78.8,292069,95494
Everton,24,12606,16451,76.6,268762,97050
West Ham,29,11978,15977,75,233105,88384
Sheffield Utd,26,11876,16129,73.6,239384,84085
Southampton,25,11870,16173,73.4,228103,81584
Crystal Palace,25,11776,15469,76.1,228063,86923
Bournemouth,27,11719,15645,74.9,230059,84087
Aston Villa,28,11310,15031,75.2,237973,85566
Watford,26,10838,14951,72.5,214321,81942
Newcastle Utd,27,10310,13922,74.1,213550,80362
Burnley,22,9594,13779,69.6,196142,76152
